Timestamp         S0     S1     E      O      M     CCS    YGC     YGCT     FGC    FGCT     CGC    CGCT       GCT   
           55.7   0.00   0.00   0.00   0.00      -      -      0     0.000     0     0.000     0     0.000     0.000
           56.7   0.00   0.00   0.00   0.00      -      -      0     0.000     0     0.000     0     0.000     0.000
           57.7   0.00   0.00   0.00   0.00      -      -      0     0.000     0     0.000     0     0.000     0.000
           58.7   0.00   0.00   0.00   0.00      -      -      0     0.000     0     0.000     0     0.000     0.000
           59.7   0.00   0.00   0.00   0.00      -      -      0     0.000     0     0.000     0     0.000     0.000
           60.7   0.00   0.00   0.00   0.00      -      -      0     0.000     0     0.000     0     0.000     0.000
           61.7   0.00   0.00   0.00   0.00      -      -      0     0.000     0     0.000     0     0.000     0.000
           62.7   0.00   0.00   0.00   0.00      -      -      0     0.000     0     0.000     0     0.000     0.000
           63.7   0.00   0.00   0.00   0.00      -      -      0     0.000     0     0.000     0     0.000     0.000
           64.7   0.00   0.00   0.00   0.00      -      -      0     0.000     0     0.000     0     0.000     0.000
           65.7   0.00   0.00  14.29   0.00      -      -      0     0.000     0     0.000     0     0.000     0.000
           66.7   0.00   0.00  14.29   0.00      -      -      0     0.000     0     0.000     0     0.000     0.000
           67.7   0.00   0.00  14.29   0.00      -      -      0     0.000     0     0.000     0     0.000     0.000
           68.7   0.00   0.00  14.29   0.00      -      -      0     0.000     0     0.000     0     0.000     0.000
           69.7   0.00   0.00  14.29   0.00      -      -      0     0.000     0     0.000     0     0.000     0.000
           70.8   0.00   0.00  14.29   0.00      -      -      0     0.000     0     0.000     0     0.000     0.000
           71.8   0.00   0.00  28.57   0.00      -      -      0     0.000     0     0.000     0     0.000     0.000
           72.7   0.00   0.00  28.57   0.00      -      -      0     0.000     0     0.000     0     0.000     0.000
           73.7   0.00   0.00  28.57   0.00      -      -      0     0.000     0     0.000     0     0.000     0.000
           74.8   0.00   0.00  28.57   0.00      -      -      0     0.000     0     0.000     0     0.000     0.000
           75.8   0.00   0.00  28.57   0.00      -      -      0     0.000     0     0.000     0     0.000     0.000
           76.8   0.00   0.00  28.57   0.00      -      -      0     0.000     0     0.000     0     0.000     0.000
           77.8   0.00   0.00  28.57   0.00      -      -      0     0.000     0     0.000     0     0.000     0.000
           78.8   0.00   0.00  28.57   0.00      -      -      0     0.000     0     0.000     0     0.000     0.000
           79.8   0.00   0.00  28.57   0.00      -      -      0     0.000     0     0.000     0     0.000     0.000
           80.8   0.00   0.00  28.57   0.00      -      -      0     0.000     0     0.000     0     0.000     0.000
           81.8   0.00   0.00  28.57   0.00      -      -      0     0.000     0     0.000     0     0.000     0.000
           82.8   0.00   0.00  28.57   0.00      -      -      0     0.000     0     0.000     0     0.000     0.000
           83.8   0.00   0.00  28.57   0.00      -      -      0     0.000     0     0.000     0     0.000     0.000
           84.8   0.00   0.00  28.57   0.00      -      -      0     0.000     0     0.000     0     0.000     0.000
           85.8   0.00   0.00  28.57   0.00      -      -      0     0.000     0     0.000     0     0.000     0.000
           86.8   0.00   0.00  28.57   0.00      -      -      0     0.000     0     0.000     0     0.000     0.000
           87.8   0.00   0.00  28.57   0.00      -      -      0     0.000     0     0.000     0     0.000     0.000
           88.8   0.00   0.00  28.57   0.00      -      -      0     0.000     0     0.000     0     0.000     0.000
           89.8   0.00   0.00  28.57   0.00      -      -      0     0.000     0     0.000     0     0.000     0.000
           90.8   0.00   0.00  28.57   0.00      -      -      0     0.000     0     0.000     0     0.000     0.000
           91.9   0.00   0.00  28.57   0.00      -      -      0     0.000     0     0.000     0     0.000     0.000
           92.8   0.00   0.00  28.57   0.00      -      -      0     0.000     0     0.000     0     0.000     0.000
           93.8   0.00   0.00  28.57   0.00      -      -      0     0.000     0     0.000     0     0.000     0.000
